t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
5.676,2.7497,0.8594,-2.7022,-0.8809,4.5421,0.9798
5.696,2.7628,0.8680,-2.7105,-0.8866,4.5547,0.9885
5.718,2.7702,0.8728,-2.7230,-0.8951,4.5680,0.9976
5.740,2.7767,0.8772,-2.7314,-0.9008,4.5680,0.9976
5.760,2.7833,0.8815,-2.7379,-0.9055,4.5822,1.0074
5.782,2.7972,0.8908,-2.7462,-0.9113,4.5822,1.0074
5.804,2.8046,0.8958,-2.7545,-0.9170,4.5944,1.0162
5.824,2.8119,0.9007,-2.7628,-0.9228,4.6076,1.0255
5.846,2.8193,0.9057,-2.7710,-0.9287,4.6076,1.0255
5.868,2.8331,0.9152,-2.7834,-0.9364,4.6218,1.0355
5.888,2.8405,0.9203,-2.7918,-0.9423,4.6400,1.0475
5.910,2.8470,0.9248,-2.8043,-0.9513,4.6400,1.0475
5.932,2.8543,0.9300,-2.8127,-0.9573,4.6534,1.0571
5.952,2.8665,0.9385,-2.8210,-0.9633,4.6674,1.0673
5.974,2.8729,0.9430,-2.8209,-0.9596,4.6674,1.0673
5.996,2.8802,0.9482,-2.8291,-0.9654,4.6730,1.0676
6.016,2.8875,0.9534,-2.8373,-0.9713,4.6730,1.0676
6.038,2.9020,0.9638,-2.8455,-0.9772,4.6860,1.0769
6.060,2.9084,0.9685,-2.8569,-0.9851,4.7001,1.0873
6.080,2.9157,0.9737,-2.8650,-0.9911,4.7001,1.0873
6.102,2.9229,0.9790,-2.8732,-0.9970,4.7130,1.0964
6.124,2.9366,0.9890,-2.8813,-1.0030,4.7260,1.1060
6.146,2.9438,0.9944,-2.8894,-1.0090,4.7260,1.1060
6.166,2.9510,0.9997,-2.8919,-1.0098,4.7398,1.1163
6.188,2.9574,1.0045,-2.8999,-1.0157,4.7477,1.1212
6.210,2.9710,1.0147,-2.9119,-1.0247,4.7477,1.1212
6.230,2.9782,1.0201,-2.9199,-1.0306,4.7605,1.1307
6.252,2.9845,1.0250,-2.9279,-1.0366,4.7742,1.1411
6.274,2.9909,1.0298,-2.9356,-1.0429,4.7742,1.1411
6.294,3.0036,1.0395,-2.9436,-1.0490,4.7874,1.1516
6.316,3.0107,1.0450,-2.9516,-1.0550,4.7874,1.1516
6.338,3.0171,1.0499,-2.9595,-1.0611,4.8001,1.1614
6.358,3.0297,1.0597,-2.9675,-1.0672,4.8136,1.1718
6.380,3.0361,1.0646,-2.9748,-1.0756,4.8136,1.1718
6.402,3.0424,1.0696,-2.9827,-1.0817,4.8224,1.1814
6.422,3.0496,1.0751,-2.9905,-1.0879,4.8349,1.1913
6.444,3.0638,1.0863,-2.9984,-1.0940,4.8349,1.1913
6.466,3.0702,1.0912,-3.0062,-1.0996,4.8484,1.2018
6.486,3.0765,1.0962,-3.0140,-1.1057,4.8616,1.2117
6.508,3.0836,1.1017,-3.0258,-1.1149,4.8616,1.2117
6.530,3.0970,1.1122,-3.0337,-1.1210,4.8741,1.2215
6.550,3.1033,1.1172,-3.0415,-1.1271,4.8741,1.2215
6.572,3.1104,1.1227,-3.0493,-1.1343,4.8874,1.2320
6.594,3.1174,1.1283,-3.0571,-1.1404,4.9006,1.2436
6.614,3.1245,1.1339,-3.0649,-1.1466,4.9006,1.2436
6.636,3.1377,1.1444,-3.0727,-1.1527,4.9131,1.2535
6.658,3.1447,1.1500,-3.0804,-1.1589,4.9262,1.2640
6.678,3.1517,1.1556,-3.0859,-1.1659,4.9262,1.2640
6.700,3.1640,1.1656,-3.0974,-1.1752,4.9370,1.2754
6.722,3.1702,1.1706,-3.1051,-1.1815,4.9492,1.2855
6.742,3.1763,1.1757,-3.1127,-1.1878,4.9492,1.2855
6.764,3.1825,1.1807,-3.1194,-1.1937,4.9621,1.2962
6.786,3.1947,1.1908,-3.1270,-1.2000,4.9741,1.3066
6.806,3.2009,1.1959,-3.1346,-1.2064,4.9741,1.3066
6.828,3.2077,1.2016,-3.1422,-1.2127,4.9861,1.3168
6.850,3.2207,1.2124,-3.1535,-1.2223,4.9861,1.3168
6.870,3.2267,1.2176,-3.1611,-1.2289,4.9989,1.3277
6.892,3.2335,1.2234,-3.1686,-1.2353,5.0118,1.3389
6.914,3.2403,1.2292,-3.1761,-1.2419,5.0118,1.3389
6.934,3.2470,1.2351,-3.1835,-1.2485,5.0237,1.3494
6.956,3.2596,1.2463,-3.1909,-1.2551,5.0361,1.3607
6.978,3.2655,1.2516,-3.1991,-1.2627,5.0361,1.3607
6.998,3.2714,1.2569,-3.2064,-1.2694,5.0495,1.3730
7.020,3.2837,1.2682,-3.2172,-1.2795,5.0610,1.3838
7.042,3.2895,1.2736,-3.2244,-1.2863,5.0610,1.3838
7.062,3.2953,1.2790,-3.2315,-1.2901,5.0732,1.3954
7.084,3.3067,1.2898,-3.2386,-1.2968,5.0732,1.3954
7.106,3.3124,1.2952,-3.2458,-1.3036,5.0852,1.4039
7.126,3.3188,1.3013,-3.2529,-1.3103,5.0965,1.4148
7.148,3.3302,1.3122,-3.2600,-1.3171,5.0965,1.4148
7.170,3.3358,1.3177,-3.2680,-1.3257,5.1085,1.4265
7.190,3.3415,1.3232,-3.2750,-1.3325,5.1179,1.4364
7.212,3.3478,1.3294,-3.2820,-1.3394,5.1179,1.4364
7.234,3.3598,1.3411,-3.2890,-1.3462,5.1290,1.4474
7.254,3.3654,1.3466,-3.2960,-1.3531,5.1409,1.4592
7.276,3.3711,1.3522,-3.3059,-1.3606,5.1409,1.4592
7.298,3.3832,1.3640,-3.3130,-1.3675,5.1557,1.4716
7.318,3.3896,1.3703,-3.3202,-1.3745,5.1671,1.4828
7.340,3.3960,1.3766,-3.3310,-1.3849,5.1671,1.4828
7.362,3.4010,1.3816,-3.3362,-1.3914,5.1792,1.4948
7.382,3.4125,1.3929,-3.3433,-1.3985,5.1792,1.4948
7.404,3.4189,1.3993,-3.3505,-1.4055,5.1893,1.5062
7.426,3.4254,1.4056,-3.3577,-1.4125,5.2007,1.5175
7.446,3.4311,1.4113,-3.3649,-1.4196,5.2007,1.5175
7.468,3.4440,1.4240,-3.3770,-1.4310,5.2129,1.5296
7.490,3.4491,1.4290,-3.3843,-1.4381,5.2265,1.5425
7.510,3.4556,1.4354,-3.3915,-1.4452,5.2265,1.5425
7.532,3.4620,1.4418,-3.3988,-1.4522,5.2381,1.5539
7.554,3.4735,1.4531,-3.4060,-1.4593,5.2502,1.5659
7.574,3.4792,1.4588,-3.4106,-1.4647,5.2502,1.5659
