t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
2.415,1.6660,-0.0331,-0.0214,-1.6924,1.3377,-0.0176
2.436,1.6745,-0.0321,-0.0202,-1.7020,1.3528,-0.0160
2.457,1.6913,-0.0301,-0.0192,-1.7102,1.3528,-0.0160
2.478,1.6997,-0.0291,-0.0179,-1.7266,1.3700,-0.0146
2.499,1.7082,-0.0281,-0.0167,-1.7362,1.3852,-0.0129
2.520,1.7166,-0.0271,-0.0154,-1.7458,1.3852,-0.0129
2.541,1.7250,-0.0260,-0.0144,-1.7541,1.4003,-0.0111
2.562,1.7334,-0.0250,-0.0133,-1.7651,1.4169,-0.0095
2.583,1.7501,-0.0228,-0.0120,-1.7747,1.4169,-0.0095
2.604,1.7585,-0.0218,-0.0109,-1.7830,1.4322,-0.0077
2.625,1.7669,-0.0207,-0.0096,-1.7926,1.4322,-0.0077
2.646,1.7753,-0.0196,-0.0083,-1.8022,1.4473,-0.0059
2.667,1.7837,-0.0184,-0.0080,-1.8102,1.4635,-0.0047
2.688,1.7921,-0.0173,-0.0061,-1.8239,1.4635,-0.0047
2.709,1.8090,-0.0150,-0.0048,-1.8336,1.4786,-0.0028
2.730,1.8175,-0.0139,-0.0035,-1.8434,1.4939,-0.0009
2.751,1.8261,-0.0127,-0.0023,-1.8519,1.4939,-0.0009
2.772,1.8347,-0.0115,-0.0013,-1.8618,1.5095,0.0008
2.793,1.8433,-0.0103,0.0001,-1.8717,1.5095,0.0008
2.814,1.8519,-0.0090,0.0013,-1.8802,1.5251,0.0027
2.835,1.8693,-0.0065,0.0027,-1.8902,1.5407,0.0048
2.856,1.8780,-0.0052,0.0041,-1.9001,1.5407,0.0048
2.877,1.8867,-0.0040,0.0055,-1.9094,1.5571,0.0070
2.898,1.8954,-0.0027,0.0076,-1.9236,1.5729,0.0091
2.919,1.9041,-0.0013,0.0091,-1.9336,1.5729,0.0091
2.940,1.9128,-0.0000,0.0106,-1.9436,1.5886,0.0113
2.961,1.9302,0.0027,0.0117,-1.9541,1.5886,0.0113
2.982,1.9389,0.0041,0.0132,-1.9642,1.6079,0.0134
3.003,1.9476,0.0055,0.0148,-1.9743,1.6238,0.0156
3.024,1.9564,0.0069,0.0161,-1.9829,1.6238,0.0156
3.045,1.9651,0.0083,0.0177,-1.9930,1.6397,0.0179
3.066,1.9738,0.0097,0.0193,-2.0030,1.6555,0.0203
3.087,1.9912,0.0127,0.0200,-2.0106,1.6555,0.0203
3.108,1.9999,0.0141,0.0223,-2.0249,1.6701,0.0218
3.129,2.0086,0.0156,0.0240,-2.0349,1.6859,0.0242
3.150,2.0173,0.0172,0.0256,-2.0449,1.6859,0.0242
3.171,2.0259,0.0187,0.0263,-2.0525,1.7016,0.0267
3.192,2.0345,0.0201,0.0278,-2.0623,1.7016,0.0267
3.213,2.0517,0.0228,0.0292,-2.0721,1.7160,0.0281
3.234,2.0603,0.0241,0.0304,-2.0804,1.7314,0.0302
3.255,2.0688,0.0253,0.0317,-2.0901,1.7314,0.0302
3.276,2.0773,0.0265,0.0334,-2.1004,1.7487,0.0326
3.297,2.0858,0.0276,0.0344,-2.1087,1.7640,0.0344
3.318,2.0942,0.0287,0.0360,-2.1225,1.7640,0.0344
3.339,2.1111,0.0309,0.0372,-2.1321,1.7791,0.0360
3.360,2.1195,0.0320,0.0382,-2.1417,1.7791,0.0360
3.381,2.1279,0.0330,0.0403,-2.1509,1.7942,0.0375
3.402,2.1363,0.0341,0.0414,-2.1604,1.8104,0.0404
3.423,2.1447,0.0351,0.0425,-2.1700,1.8104,0.0404
3.444,2.1531,0.0361,0.0435,-2.1782,1.8255,0.0420
3.465,2.1698,0.0382,0.0469,-2.1886,1.8414,0.0460
3.486,2.1781,0.0392,0.0481,-2.1981,1.8414,0.0460
