t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
2.696,1.4459,0.1923,-1.4827,-0.1873,3.6796,0.2214
2.718,1.4543,0.1948,-1.4919,-0.1899,3.6943,0.2255
2.738,1.4626,0.1973,-1.5011,-0.1926,3.7099,0.2300
2.760,1.4710,0.1999,-1.5119,-0.1944,3.7099,0.2300
2.782,1.4793,0.2025,-1.5211,-0.1971,3.7273,0.2336
2.802,1.4960,0.2077,-1.5303,-0.1998,3.7273,0.2336
2.824,1.5044,0.2104,-1.5441,-0.2039,3.7420,0.2379
2.846,1.5127,0.2130,-1.5525,-0.2065,3.7575,0.2425
2.866,1.5211,0.2157,-1.5616,-0.2092,3.7575,0.2425
2.888,1.5294,0.2184,-1.5707,-0.2120,3.7723,0.2469
2.910,1.5461,0.2238,-1.5798,-0.2148,3.7869,0.2513
2.930,1.5544,0.2265,-1.5889,-0.2174,3.7869,0.2513
2.952,1.5627,0.2292,-1.6014,-0.2200,3.8024,0.2556
2.974,1.5711,0.2319,-1.6152,-0.2237,3.8215,0.2599
2.994,1.5794,0.2347,-1.6245,-0.2262,3.8215,0.2599
3.016,1.5877,0.2375,-1.6337,-0.2287,3.8363,0.2638
3.038,1.6044,0.2430,-1.6429,-0.2312,3.8518,0.2680
3.058,1.6128,0.2458,-1.6541,-0.2361,3.8518,0.2680
3.080,1.6212,0.2486,-1.6634,-0.2387,3.8697,0.2748
3.102,1.6296,0.2514,-1.6726,-0.2413,3.8697,0.2748
3.122,1.6380,0.2542,-1.6819,-0.2439,3.8845,0.2788
3.144,1.6548,0.2598,-1.6912,-0.2465,3.9002,0.2831
3.166,1.6633,0.2626,-1.7068,-0.2510,3.9002,0.2831
3.186,1.6717,0.2655,-1.7161,-0.2536,3.9177,0.2880
3.208,1.6801,0.2683,-1.7254,-0.2563,3.9326,0.2922
3.230,1.6886,0.2712,-1.7346,-0.2589,3.9326,0.2922
3.250,1.6970,0.2741,-1.7433,-0.2622,3.9484,0.2966
3.272,1.7140,0.2799,-1.7526,-0.2649,3.9636,0.3017
3.294,1.7224,0.2828,-1.7665,-0.2690,3.9636,0.3017
3.314,1.7309,0.2858,-1.7757,-0.2718,3.9784,0.3060
3.336,1.7393,0.2888,-1.7849,-0.2745,3.9784,0.3060
3.358,1.7478,0.2918,-1.7933,-0.2786,3.9941,0.3106
3.378,1.7647,0.2976,-1.8025,-0.2813,4.0089,0.3166
3.400,1.7731,0.3005,-1.8117,-0.2840,4.0089,0.3166
3.422,1.7816,0.3034,-1.8208,-0.2867,4.0236,0.3208
3.442,1.7900,0.3063,-1.8299,-0.2894,4.0391,0.3252
3.464,1.7983,0.3092,-1.8475,-0.2983,4.0391,0.3252
3.486,1.8150,0.3151,-1.8566,-0.3011,4.0587,0.3348
3.506,1.8234,0.3181,-1.8656,-0.3040,4.0733,0.3393
3.528,1.8318,0.3211,-1.8747,-0.3070,4.0733,0.3393
3.550,1.8401,0.3241,-1.8840,-0.3123,4.0886,0.3441
3.570,1.8485,0.3271,-1.8931,-0.3154,4.0886,0.3441
3.592,1.8569,0.3302,-1.9022,-0.3185,4.1043,0.3516
3.614,1.8737,0.3363,-1.9158,-0.3231,4.1189,0.3565
3.634,1.8821,0.3394,-1.9248,-0.3263,4.1189,0.3565
3.656,1.8906,0.3425,-1.9387,-0.3335,4.1343,0.3616
3.678,1.8990,0.3457,-1.9479,-0.3368,4.1548,0.3712
3.698,1.9074,0.3489,-1.9570,-0.3401,4.1548,0.3712
3.720,1.9243,0.3553,-1.9661,-0.3435,4.1694,0.3764
3.742,1.9327,0.3586,-1.9752,-0.3469,4.1847,0.3820
3.762,1.9411,0.3619,-1.9864,-0.3517,4.1847,0.3820
3.784,1.9495,0.3652,-2.0000,-0.3569,4.2024,0.3891
3.806,1.9579,0.3685,-2.0091,-0.3604,4.2170,0.3946
3.826,1.9663,0.3718,-2.0181,-0.3639,4.2170,0.3946
3.848,1.9830,0.3784,-2.0273,-0.3657,4.2323,0.4004
3.870,1.9913,0.3817,-2.0362,-0.3692,4.2323,0.4004
3.890,1.9996,0.3851,-2.0451,-0.3727,4.2477,0.4046
3.912,2.0079,0.3884,-2.0539,-0.3762,4.2619,0.4101
3.934,2.0161,0.3918,-2.0671,-0.3815,4.2619,0.4101
3.954,2.0326,0.3985,-2.0750,-0.3844,4.2769,0.4160
3.976,2.0408,0.4018,-2.0837,-0.3879,4.2909,0.4213
3.998,2.0490,0.4052,-2.0924,-0.3915,4.2909,0.4213
4.018,2.0572,0.4086,-2.1011,-0.3950,4.3049,0.4268
4.040,2.0653,0.4121,-2.1097,-0.3986,4.3196,0.4329
4.062,2.0817,0.4191,-2.1175,-0.4017,4.3196,0.4329
4.082,2.0898,0.4226,-2.1261,-0.4053,4.3334,0.4383
4.104,2.0979,0.4261,-2.1388,-0.4109,4.3471,0.4441
4.126,2.1060,0.4297,-2.1473,-0.4146,4.3471,0.4441
4.146,2.1141,0.4333,-2.1565,-0.4193,4.3616,0.4505
4.168,2.1222,0.4369,-2.1649,-0.4232,4.3616,0.4505
4.190,2.1384,0.4442,-2.1733,-0.4270,4.3767,0.4578
4.210,2.1465,0.4479,-2.1817,-0.4309,4.3902,0.4639
4.232,2.1545,0.4516,-2.1901,-0.4348,4.3902,0.4639
4.254,2.1626,0.4553,-2.2063,-0.4434,4.4044,0.4704
4.274,2.1706,0.4591,-2.2147,-0.4474,4.4225,0.4798
4.296,2.1866,0.4666,-2.2230,-0.4515,4.4225,0.4798
4.318,2.1947,0.4704,-2.2313,-0.4555,4.4359,0.4862
4.338,2.2027,0.4742,-2.2395,-0.4596,4.4498,0.4929
4.360,2.2107,0.4780,-2.2493,-0.4696,4.4498,0.4929
4.382,2.2186,0.4819,-2.2575,-0.4738,4.4655,0.5060
4.402,2.2266,0.4858,-2.2657,-0.4781,4.4655,0.5060
4.424,2.2424,0.4936,-2.2779,-0.4845,4.4787,0.5127
4.446,2.2502,0.4975,-2.2870,-0.4895,4.4925,0.5198
4.466,2.2581,0.5014,-2.2951,-0.4939,4.4925,0.5198
4.488,2.2660,0.5054,-2.3032,-0.4982,4.5073,0.5277
4.510,2.2738,0.5094,-2.3112,-0.5027,4.5202,0.5347
4.532,2.2894,0.5174,-2.3192,-0.5071,4.5202,0.5347
4.552,2.2972,0.5215,-2.3301,-0.5112,4.5338,0.5421
4.574,2.3050,0.5255,-2.3420,-0.5179,4.5505,0.5493
4.596,2.3128,0.5296,-2.3500,-0.5224,4.5505,0.5493
4.616,2.3205,0.5337,-2.3579,-0.5269,4.5632,0.5563
4.638,2.3360,0.5420,-2.3658,-0.5314,4.5632,0.5563
4.660,2.3438,0.5461,-2.3743,-0.5364,4.5765,0.5640
4.680,2.3515,0.5503,-2.3822,-0.5410,4.5907,0.5721
4.702,2.3593,0.5545,-2.3900,-0.5456,4.5907,0.5721
4.724,2.3670,0.5587,-2.4017,-0.5525,4.6033,0.5793
4.744,2.3739,0.5625,-2.4130,-0.5600,4.6165,0.5871
4.766,2.3902,0.5714,-2.4209,-0.5647,4.6165,0.5871
4.788,2.3979,0.5757,-2.4287,-0.5695,4.6335,0.5979
4.808,2.4056,0.5800,-2.4365,-0.5742,4.6461,0.6054
4.830,2.4133,0.5843,-2.4442,-0.5790,4.6461,0.6054
4.852,2.4210,0.5886,-2.4531,-0.5838,4.6592,0.6134
4.872,2.4364,0.5972,-2.4609,-0.5886,4.6736,0.6215
4.894,2.4441,0.6016,-2.4726,-0.5958,4.6736,0.6215
4.916,2.4519,0.6059,-2.4804,-0.6006,4.6862,0.6291
4.936,2.4596,0.6102,-2.4882,-0.6054,4.6862,0.6291
4.958,2.4674,0.6146,-2.4977,-0.6095,4.6994,0.6371
4.980,2.4830,0.6232,-2.5056,-0.6143,4.7146,0.6445
5.000,2.4908,0.6276,-2.5135,-0.6191,4.7146,0.6445
5.022,2.4986,0.6320,-2.5213,-0.6239,4.7272,0.6521
5.044,2.5063,0.6364,-2.5305,-0.6314,4.7405,0.6602
5.064,2.5141,0.6408,-2.5382,-0.6363,4.7405,0.6602
5.086,2.5219,0.6452,-2.5460,-0.6412,4.7512,0.6687
5.108,2.5373,0.6541,-2.5536,-0.6461,4.7635,0.6764
5.128,2.5451,0.6585,-2.5613,-0.6510,4.7635,0.6764
5.150,2.5528,0.6630,-2.5735,-0.6559,4.7767,0.6847
5.172,2.5605,0.6675,-2.5813,-0.6608,4.7945,0.6930
5.192,2.5682,0.6720,-2.5890,-0.6658,4.7945,0.6930
5.214,2.5835,0.6811,-2.6005,-0.6732,4.8069,0.7008
5.236,2.5912,0.6856,-2.6082,-0.6782,4.8069,0.7008
5.256,2.5989,0.6902,-2.6218,-0.6839,4.8198,0.7091
5.278,2.6065,0.6948,-2.6296,-0.6889,4.8393,0.7183
5.300,2.6142,0.6994,-2.6373,-0.6940,4.8393,0.7183
5.320,2.6218,0.7040,-2.6451,-0.6990,4.8517,0.7262
5.342,2.6371,0.7133,-2.6528,-0.7040,4.8646,0.7347
5.364,2.6447,0.7179,-2.6654,-0.7089,4.8646,0.7347
5.384,2.6523,0.7226,-2.6732,-0.7139,4.8789,0.7404
5.406,2.6600,0.7272,-2.6809,-0.7189,4.8914,0.7484
5.428,2.6676,0.7319,-2.6886,-0.7240,4.8914,0.7484
5.448,2.6829,0.7413,-2.7017,-0.7310,4.9045,0.7569
5.470,2.6905,0.7460,-2.7095,-0.7361,4.9045,0.7569
5.492,2.6982,0.7507,-2.7175,-0.7411,4.9234,0.7675
5.512,2.7058,0.7554,-2.7255,-0.7459,4.9362,0.7752
5.534,2.7134,0.7601,-2.7375,-0.7532,4.9362,0.7752
5.556,2.7286,0.7695,-2.7465,-0.7585,4.9497,0.7832
5.576,2.7362,0.7742,-2.7545,-0.7633,4.9644,0.7919
5.598,2.7438,0.7789,-2.7624,-0.7681,4.9644,0.7919
5.620,2.7514,0.7836,-2.7704,-0.7730,4.9772,0.7995
5.640,2.7590,0.7883,-2.7784,-0.7778,4.9907,0.8075
5.662,2.7666,0.7930,-2.7893,-0.7845,4.9907,0.8075
5.684,2.7817,0.8024,-2.8014,-0.7918,5.0075,0.8177
5.704,2.7893,0.8071,-2.8093,-0.7967,5.0203,0.8254
5.726,2.7968,0.8118,-2.8173,-0.8016,5.0203,0.8254
5.748,2.8035,0.8160,-2.8264,-0.8072,5.0338,0.8335
5.768,2.8111,0.8208,-2.8344,-0.8121,5.0338,0.8335
5.790,2.8261,0.8303,-2.8423,-0.8170,5.0487,0.8425
5.812,2.8337,0.8350,-2.8503,-0.8220,5.0615,0.8503
5.832,2.8412,0.8398,-2.8582,-0.8269,5.0615,0.8503
5.854,2.8487,0.8446,-2.8719,-0.8362,5.0749,0.8586
