t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
2.480,1.3322,0.1588,-1.3001,-0.1587,5.5063,0.4904
2.502,1.3407,0.1611,-1.3139,-0.1624,5.5214,0.4951
2.522,1.3492,0.1634,-1.3231,-0.1649,5.5214,0.4951
2.544,1.3662,0.1681,-1.3323,-0.1675,5.5362,0.4991
2.566,1.3747,0.1705,-1.3415,-0.1701,5.5519,0.5034
2.586,1.3831,0.1728,-1.3533,-0.1747,5.5519,0.5034
2.608,1.3916,0.1752,-1.3626,-0.1774,5.5702,0.5100
2.630,1.4000,0.1777,-1.3718,-0.1801,5.5702,0.5100
2.650,1.4168,0.1825,-1.3811,-0.1829,5.5850,0.5143
2.672,1.4252,0.1850,-1.3976,-0.1869,5.6007,0.5190
2.694,1.4336,0.1875,-1.4069,-0.1896,5.6007,0.5190
2.714,1.4420,0.1900,-1.4163,-0.1924,5.6192,0.5235
2.736,1.4504,0.1925,-1.4256,-0.1952,5.6342,0.5280
2.758,1.4671,0.1976,-1.4349,-0.1981,5.6342,0.5280
2.778,1.4754,0.2002,-1.4435,-0.2008,5.6499,0.5328
2.800,1.4838,0.2027,-1.4528,-0.2037,5.6650,0.5376
2.822,1.4921,0.2054,-1.4669,-0.2080,5.6650,0.5376
2.842,1.5005,0.2080,-1.4762,-0.2109,5.6800,0.5422
2.864,1.5088,0.2106,-1.4856,-0.2139,5.6800,0.5422
2.886,1.5255,0.2160,-1.4884,-0.2175,5.6959,0.5472
2.906,1.5339,0.2186,-1.4977,-0.2205,5.7050,0.5529
2.928,1.5422,0.2213,-1.5069,-0.2235,5.7050,0.5529
2.950,1.5505,0.2240,-1.5162,-0.2265,5.7198,0.5577
2.970,1.5589,0.2267,-1.5254,-0.2295,5.7358,0.5629
2.992,1.5756,0.2322,-1.5416,-0.2332,5.7358,0.5629
3.014,1.5839,0.2349,-1.5509,-0.2363,5.7538,0.5672
3.034,1.5923,0.2377,-1.5603,-0.2394,5.7688,0.5720
3.056,1.6006,0.2405,-1.5696,-0.2424,5.7688,0.5720
3.078,1.6090,0.2432,-1.5771,-0.2452,5.7847,0.5773
3.098,1.6173,0.2460,-1.5865,-0.2483,5.7847,0.5773
3.120,1.6341,0.2516,-1.5959,-0.2513,5.7987,0.5822
3.142,1.6426,0.2544,-1.6101,-0.2560,5.8138,0.5871
3.162,1.6510,0.2572,-1.6196,-0.2591,5.8138,0.5871
3.184,1.6594,0.2600,-1.6280,-0.2639,5.8300,0.5924
3.206,1.6679,0.2628,-1.6375,-0.2670,5.8449,0.5995
3.226,1.6847,0.2685,-1.6470,-0.2702,5.8449,0.5995
3.248,1.6932,0.2714,-1.6566,-0.2734,5.8602,0.6045
3.270,1.7017,0.2743,-1.6662,-0.2766,5.8765,0.6100
3.290,1.7101,0.2772,-1.6757,-0.2811,5.8765,0.6100
3.312,1.7186,0.2801,-1.6901,-0.2860,5.8927,0.6167
3.334,1.7355,0.2860,-1.6997,-0.2894,5.9081,0.6221
3.354,1.7439,0.2890,-1.7093,-0.2928,5.9081,0.6221
3.376,1.7524,0.2919,-1.7197,-0.2979,5.9244,0.6277
3.398,1.7608,0.2949,-1.7293,-0.3013,5.9244,0.6277
3.418,1.7692,0.2978,-1.7389,-0.3046,5.9416,0.6353
3.440,1.7776,0.3007,-1.7486,-0.3080,5.9570,0.6407
3.462,1.7943,0.3066,-1.7631,-0.3131,5.9570,0.6407
3.482,1.8027,0.3096,-1.7713,-0.3171,5.9734,0.6464
3.504,1.8110,0.3126,-1.7810,-0.3205,5.9883,0.6528
3.526,1.8194,0.3156,-1.7906,-0.3240,5.9883,0.6528
3.546,1.8277,0.3186,-1.8003,-0.3276,6.0038,0.6584
3.568,1.8444,0.3248,-1.8100,-0.3311,6.0204,0.6644
3.590,1.8528,0.3279,-1.8173,-0.3345,6.0204,0.6644
3.610,1.8612,0.3310,-1.8271,-0.3381,6.0344,0.6703
3.632,1.8697,0.3341,-1.8418,-0.3435,6.0500,0.6761
3.654,1.8781,0.3373,-1.8516,-0.3472,6.0500,0.6761
3.674,1.8865,0.3405,-1.8601,-0.3505,6.0669,0.6824
3.696,1.9025,0.3466,-1.8700,-0.3543,6.0669,0.6824
3.718,1.9110,0.3498,-1.8799,-0.3580,6.0822,0.6883
3.738,1.9194,0.3531,-1.8898,-0.3618,6.0981,0.6943
3.760,1.9279,0.3563,-1.8997,-0.3656,6.0981,0.6943
3.782,1.9447,0.3629,-1.9103,-0.3715,6.1150,0.7008
3.802,1.9532,0.3663,-1.9253,-0.3774,6.1326,0.7096
3.824,1.9616,0.3696,-1.9352,-0.3813,6.1326,0.7096
3.846,1.9700,0.3729,-1.9452,-0.3852,6.1485,0.7158
3.866,1.9784,0.3763,-1.9551,-0.3892,6.1654,0.7225
3.888,1.9868,0.3796,-1.9625,-0.3925,6.1654,0.7225
3.910,2.0034,0.3863,-1.9723,-0.3964,6.1796,0.7285
3.930,2.0116,0.3897,-1.9821,-0.4004,6.1796,0.7285
3.952,2.0199,0.3931,-1.9969,-0.4063,6.1953,0.7349
3.974,2.0281,0.3965,-2.0055,-0.4113,6.2121,0.7417
3.994,2.0364,0.3998,-2.0153,-0.4153,6.2121,0.7417
4.016,2.0528,0.4067,-2.0251,-0.4193,6.2275,0.7495
4.038,2.0610,0.4102,-2.0349,-0.4234,6.2431,0.7560
4.060,2.0692,0.4136,-2.0446,-0.4276,6.2431,0.7560
4.080,2.0774,0.4172,-2.0524,-0.4311,6.2598,0.7630
4.102,2.0855,0.4207,-2.0670,-0.4374,6.2743,0.7695
4.124,2.1018,0.4278,-2.0768,-0.4417,6.2743,0.7695
4.144,2.1100,0.4314,-2.0865,-0.4459,6.2899,0.7763
4.166,2.1181,0.4351,-2.0962,-0.4502,6.3065,0.7836
4.188,2.1262,0.4387,-2.0983,-0.4533,6.3065,0.7836
4.208,2.1343,0.4424,-2.1078,-0.4576,6.3150,0.7897
4.230,2.1423,0.4461,-2.1174,-0.4619,6.3150,0.7897
4.252,2.1585,0.4535,-2.1318,-0.4685,6.3303,0.7966
4.272,2.1665,0.4572,-2.1370,-0.4717,6.3469,0.8042
4.294,2.1746,0.4610,-2.1465,-0.4761,6.3469,0.8042
4.316,2.1826,0.4648,-2.1560,-0.4806,6.3584,0.8104
4.336,2.1907,0.4686,-2.1655,-0.4850,6.3736,0.8175
4.358,2.2067,0.4762,-2.1750,-0.4895,6.3736,0.8175
4.380,2.2147,0.4800,-2.1786,-0.4889,6.3900,0.8252
4.400,2.2226,0.4839,-2.1879,-0.4932,6.3999,0.8275
4.422,2.2306,0.4878,-2.2020,-0.4999,6.3999,0.8275
4.444,2.2385,0.4917,-2.2113,-0.5043,6.4148,0.8346
4.464,2.2464,0.4956,-2.2206,-0.5088,6.4148,0.8346
4.486,2.2621,0.5035,-2.2282,-0.5132,6.4309,0.8424
4.508,2.2700,0.5075,-2.2375,-0.5177,6.4449,0.8499
4.528,2.2778,0.5115,-2.2468,-0.5223,6.4449,0.8499
4.550,2.2856,0.5155,-2.2560,-0.5269,6.4597,0.8572
4.572,2.2934,0.5196,-2.2673,-0.5329,6.4755,0.8651
4.592,2.3090,0.5277,-2.2719,-0.5352,6.4755,0.8651
4.614,2.3168,0.5318,-2.2857,-0.5421,6.4884,0.8720
4.636,2.3245,0.5359,-2.2949,-0.5468,6.5032,0.8794
4.656,2.3323,0.5400,-2.3041,-0.5515,6.5032,0.8794
4.678,2.3401,0.5442,-2.3107,-0.5562,6.5190,0.8875
4.700,2.3556,0.5526,-2.3199,-0.5610,6.5318,0.8956
4.720,2.3633,0.5568,-2.3291,-0.5658,6.5318,0.8956
4.742,2.3711,0.5610,-2.3429,-0.5730,6.5465,0.9033
4.764,2.3788,0.5652,-2.3521,-0.5779,6.5465,0.9033
