t,gt_x,gt_y,kiss_x,kiss_y,ov_x,ov_y,ego_x,ego_y
2.898,1.5507,0.0596,0.1428,0.2380,0.0643,-1.5032,0.1224,0.2534
2.919,1.5592,0.0611,0.1428,0.2380,0.0658,-1.5116,0.1224,0.2534
2.940,1.5761,0.0641,0.1428,0.2380,0.0676,-1.5213,0.1251,0.2552
2.961,1.5845,0.0656,0.1428,0.2380,0.0690,-1.5293,0.1278,0.2570
2.982,1.5929,0.0671,0.1428,0.2380,0.0705,-1.5376,0.1278,0.2570
3.003,1.6012,0.0686,0.1428,0.2380,0.0730,-1.5514,0.1305,0.2588
3.024,1.6096,0.0702,0.1428,0.2380,0.0748,-1.5610,0.1332,0.2606
3.045,1.6179,0.0718,0.1428,0.2380,0.0767,-1.5705,0.1332,0.2606
3.066,1.6345,0.0750,0.1745,0.2479,0.0781,-1.5772,0.1429,0.2694
3.087,1.6428,0.0767,0.1745,0.2479,0.0801,-1.5866,0.1429,0.2694
3.108,1.6511,0.0785,0.1745,0.2479,0.0821,-1.5961,0.1457,0.2713
3.129,1.6594,0.0802,0.1745,0.2479,0.0838,-1.6042,0.1485,0.2732
3.150,1.6676,0.0820,0.1745,0.2479,0.0859,-1.6136,0.1485,0.2732
3.171,1.6758,0.0838,0.1745,0.2479,0.0883,-1.6231,0.1515,0.2753
3.192,1.6923,0.0874,0.1745,0.2479,0.0901,-1.6312,0.1543,0.2772
3.213,1.7005,0.0892,0.1745,0.2479,0.0931,-1.6446,0.1543,0.2772
3.234,1.7087,0.0910,0.1745,0.2479,0.0953,-1.6540,0.1571,0.2791
3.255,1.7169,0.0929,0.2269,0.2666,0.0968,-1.6663,0.1571,0.2791
3.276,1.7251,0.0948,0.2269,0.2666,0.0986,-1.6743,0.1599,0.2810
3.297,1.7333,0.0966,0.2269,0.2666,0.1008,-1.6837,0.1628,0.2829
3.318,1.7496,0.1004,0.2269,0.2666,0.1030,-1.6931,0.1628,0.2829
3.339,1.7578,0.1023,0.2269,0.2666,0.1049,-1.7012,0.1656,0.2848
3.360,1.7660,0.1043,0.2269,0.2666,0.1072,-1.7111,0.1684,0.2867
3.381,1.7742,0.1062,0.2269,0.2666,0.1095,-1.7206,0.1684,0.2867
3.402,1.7824,0.1082,0.2269,0.2666,0.1115,-1.7287,0.1712,0.2886
3.423,1.7907,0.1103,0.2269,0.2666,0.1149,-1.7424,0.1740,0.2905
3.444,1.8074,0.1145,0.2269,0.2666,0.1174,-1.7519,0.1740,0.2905
3.465,1.8157,0.1166,0.2755,0.2907,0.1197,-1.7616,0.2342,0.3208
3.486,1.8241,0.1188,0.2755,0.2907,0.1218,-1.7698,0.2342,0.3208
3.507,1.8325,0.1210,0.2755,0.2907,0.1244,-1.7795,0.2378,0.3231
3.528,1.8408,0.1232,0.2755,0.2907,0.1269,-1.7891,0.2414,0.3254
3.549,1.8492,0.1253,0.2755,0.2907,0.1291,-1.7974,0.2414,0.3254
3.570,1.8660,0.1297,0.2755,0.2907,0.1304,-1.8079,0.2450,0.3277
