t,gt_x,gt_y,ov_x,ov_y,ego_x,ego_y
3.150,1.6771,0.2785,-1.5957,-0.2856,3.7190,0.2805
3.172,1.6855,0.2815,-1.6046,-0.2889,3.7333,0.2857
3.192,1.7005,0.2867,-1.6136,-0.2922,3.7333,0.2857
3.214,1.7080,0.2893,-1.6225,-0.2954,3.7486,0.2914
3.236,1.7155,0.2920,-1.6338,-0.2997,3.7661,0.2980
3.256,1.7230,0.2947,-1.6428,-0.3031,3.7661,0.2980
3.278,1.7398,0.3007,-1.6517,-0.3065,3.7804,0.3035
3.300,1.7482,0.3037,-1.6650,-0.3115,3.7804,0.3035
3.320,1.7566,0.3066,-1.6787,-0.3160,3.7955,0.3093
3.342,1.7641,0.3092,-1.6877,-0.3194,3.8155,0.3162
3.364,1.7799,0.3149,-1.6967,-0.3228,3.8155,0.3162
3.384,1.7883,0.3179,-1.7056,-0.3262,3.8299,0.3217
3.406,1.7966,0.3210,-1.7146,-0.3296,3.8449,0.3275
3.428,1.8041,0.3237,-1.7234,-0.3298,3.8449,0.3275
3.448,1.8189,0.3292,-1.7324,-0.3333,3.8601,0.3301
3.470,1.8263,0.3319,-1.7458,-0.3384,3.8744,0.3356
3.492,1.8347,0.3350,-1.7548,-0.3419,3.8744,0.3356
3.512,1.8476,0.3399,-1.7659,-0.3458,3.8896,0.3417
3.534,1.8551,0.3428,-1.7750,-0.3494,3.8896,0.3417
3.556,1.8625,0.3456,-1.7840,-0.3529,3.9071,0.3481
3.576,1.8793,0.3520,-1.7931,-0.3565,3.9217,0.3538
3.598,1.8868,0.3549,-1.8022,-0.3601,3.9217,0.3538
3.620,1.8953,0.3582,-1.8205,-0.3684,3.9370,0.3600
3.640,1.9093,0.3637,-1.8297,-0.3722,3.9573,0.3692
3.662,1.9177,0.3670,-1.8389,-0.3759,3.9573,0.3692
3.684,1.9252,0.3700,-1.8481,-0.3797,3.9720,0.3752
3.704,1.9336,0.3733,-1.8573,-0.3835,3.9875,0.3816
3.726,1.9486,0.3793,-1.8675,-0.3878,3.9875,0.3816
3.748,1.9561,0.3823,-1.8767,-0.3916,4.0043,0.3886
3.768,1.9645,0.3858,-1.8860,-0.3955,4.0190,0.3948
3.790,1.9785,0.3915,-1.8998,-0.4013,4.0190,0.3948
3.812,1.9859,0.3945,-1.9082,-0.4025,4.0346,0.4014
3.832,1.9934,0.3976,-1.9174,-0.4063,4.0346,0.4014
3.854,2.0017,0.4010,-1.9265,-0.4100,4.0494,0.4052
3.876,2.0184,0.4077,-1.9356,-0.4138,4.0640,0.4112
3.896,2.0257,0.4107,-1.9447,-0.4175,4.0640,0.4112
3.918,2.0322,0.4133,-1.9537,-0.4212,4.0794,0.4177
3.940,2.0469,0.4192,-1.9689,-0.4274,4.0964,0.4246
3.960,2.0551,0.4226,-1.9780,-0.4311,4.0964,0.4246
3.982,2.0633,0.4260,-1.9870,-0.4350,4.1109,0.4306
4.004,2.0770,0.4317,-1.9960,-0.4388,4.1262,0.4372
4.024,2.0843,0.4349,-2.0062,-0.4430,4.1262,0.4372
4.046,2.0915,0.4380,-2.0152,-0.4469,4.1427,0.4441
4.068,2.0997,0.4416,-2.0286,-0.4529,4.1570,0.4505
4.088,2.1159,0.4488,-2.0331,-0.4549,4.1570,0.4505
4.110,2.1240,0.4524,-2.0465,-0.4610,4.1722,0.4574
4.132,2.1303,0.4553,-2.0570,-0.4673,4.1722,0.4574
4.152,2.1375,0.4586,-2.0660,-0.4715,4.1890,0.4667
4.174,2.1536,0.4660,-2.0749,-0.4758,4.2033,0.4734
4.196,2.1608,0.4693,-2.0838,-0.4800,4.2033,0.4734
4.218,2.1742,0.4757,-2.0957,-0.4850,4.2183,0.4807
4.238,2.1823,0.4795,-2.1046,-0.4893,4.2365,0.4888
4.260,2.1894,0.4830,-2.1181,-0.4959,4.2365,0.4888
4.282,2.1974,0.4869,-2.1270,-0.5004,4.2509,0.4959
4.302,2.2108,0.4934,-2.1360,-0.5049,4.2660,0.5035
4.324,2.2170,0.4965,-2.1433,-0.5074,4.2660,0.5035
4.346,2.2240,0.5001,-2.1522,-0.5119,4.2795,0.5092
4.366,2.2390,0.5077,-2.1610,-0.5165,4.2795,0.5092
4.388,2.2460,0.5113,-2.1699,-0.5211,4.2936,0.5165
4.410,2.2539,0.5154,-2.1831,-0.5280,4.3087,0.5245
4.432,2.2679,0.5227,-2.1931,-0.5318,4.3087,0.5245
4.452,2.2757,0.5269,-2.2019,-0.5364,4.3248,0.5315
4.474,2.2836,0.5311,-2.2107,-0.5411,4.3389,0.5390
4.494,2.2905,0.5348,-2.2195,-0.5458,4.3389,0.5390
4.516,2.2983,0.5390,-2.2294,-0.5503,4.3538,0.5471
4.538,2.3122,0.5465,-2.2426,-0.5574,4.3698,0.5549
4.558,2.3200,0.5508,-2.2513,-0.5622,4.3698,0.5549
4.580,2.3277,0.5550,-2.2601,-0.5670,4.3838,0.5626
4.602,2.3355,0.5593,-2.2688,-0.5718,4.3986,0.5709
4.622,2.3501,0.5675,-2.2774,-0.5757,4.3986,0.5709
4.644,2.3570,0.5713,-2.2861,-0.5806,4.4132,0.5782
4.666,2.3638,0.5752,-2.2948,-0.5854,4.4132,0.5782
4.686,2.3715,0.5796,-2.3034,-0.5903,4.4271,0.5860
4.708,2.3852,0.5874,-2.3121,-0.5952,4.4418,0.5945
4.730,2.3929,0.5918,-2.3235,-0.6032,4.4418,0.5945
4.750,2.4005,0.5962,-2.3320,-0.6081,4.4549,0.6035
4.772,2.4082,0.6007,-2.3406,-0.6130,4.4685,0.6114
4.794,2.4235,0.6096,-2.3491,-0.6180,4.4685,0.6114
4.814,2.4302,0.6135,-2.3576,-0.6229,4.4830,0.6198
4.836,2.4370,0.6175,-2.3684,-0.6286,4.4997,0.6290
4.858,2.4514,0.6260,-2.3769,-0.6335,4.4997,0.6290
4.878,2.4589,0.6305,-2.3854,-0.6386,4.5133,0.6371
4.900,2.4657,0.6345,-2.3981,-0.6461,4.5133,0.6371
4.922,2.4724,0.6385,-2.4044,-0.6505,4.5276,0.6456
4.942,2.4867,0.6471,-2.4128,-0.6555,4.5398,0.6536
4.964,2.4942,0.6517,-2.4212,-0.6606,4.5398,0.6536
4.986,2.5018,0.6562,-2.4296,-0.6657,4.5532,0.6617
5.006,2.5085,0.6603,-2.4380,-0.6708,4.5675,0.6705
5.028,2.5219,0.6685,-2.4447,-0.6751,4.5675,0.6705
5.050,2.5286,0.6726,-2.4571,-0.6828,4.5799,0.6783
5.070,2.5361,0.6773,-2.4654,-0.6879,4.5932,0.6866
5.092,2.5486,0.6850,-2.4737,-0.6931,4.5932,0.6866
5.114,2.5560,0.6897,-2.4844,-0.6994,4.6073,0.6955
5.134,2.5619,0.6934,-2.4927,-0.7047,4.6073,0.6955
5.156,2.5743,0.7012,-2.5010,-0.7099,4.6238,0.7056
5.178,2.5809,0.7054,-2.5093,-0.7152,4.6370,0.7140
5.198,2.5876,0.7096,-2.5175,-0.7205,4.6370,0.7140
